URL,Entered On,Sale Date,Winning Bid,Reserve / Bids,DISTILLERY,VINTAGE,REGION,BOTTLER,CASK TYPE,BOTTLED STRENGTH,BOTTLE SIZE,DISTILLERY STATUS,AGE,ABV (%),Volume (L),LOA (Litres of Alcohol),Reserve Met?,Where?
https://whiskyauctioneer.com/lot/0924-02/cask-dailuaine-2016-refill-bourbon-hogshead-305297-stored-lowland-bond,2025-04-14 00:00:00,2024-10-07 00:00:00,1750,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 7 BIDS,DAILUAINE,2016,ISLAY,STILL IN CASK,REFILL BOURBON HOGSHEAD,61% AS OF JULY 2024,BULK 200 LITRES AS OF JULY 2024,OPERATIONAL,8,61,200,122,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0924-01/cask-dailuaine-2008-refill-bourbon-hogshead-90065091-stored-lowland-bond,2025-04-14 00:00:00,2024-10-07 00:00:00,3472,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 17 BIDS,DAILUAINE,2008,SPEYSIDE,STILL IN CASK,REFILL BOURBON HOGSHEAD,59.3% AS OF JULY 2024,BULK 212.02 LITRES AS OF JULY 2024,OPERATIONAL,16,59.3,212.02,125.72786,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0924-04/cask-glenrothes-2016-refill-bourbon-hogshead-8259-stored-lowland-bond,2025-04-14 00:00:00,2024-10-07 00:00:00,3150,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 28 BIDS,GLENROTHES,2016,SPEYSIDE,STILL IN CASK,REFILL BOURBON HOGSHEAD,66.8% AS OF JULY 2024,BULK 240.87 LITRES AS OF JULY 2024,OPERATIONAL,8,66.8,240.87,160.90116,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0822-06/1-orkney-single-malt-2008-single-refill-butt-2-cask-storage-whiskybroker,2025-04-14 00:00:00,2022-09-05 00:00:00,21600,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 13 BIDS,Highland Park,2008,ISLAND,STILL IN CASK,REFILL BUTT,63.6% AS OF OCTOBER 2021,299.8 RLA AS OF OCT 2020,OPERATIONAL,14,63.6,471.3836478,299.8,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0524-06/cask-island-single-malt-2008-refill-butt-1-stored-whisky-broker,2025-04-14 00:00:00,2024-06-10 00:00:00,17500,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 5 BIDS,Unknown,2008,ISLAND,STILL IN CASK,REFILL BUTT,64.5% AS OF 06/2024,BULK 485.1 LITRES AS OF 06/2024,OPERATIONAL,16,64.5,485.1,312.8895,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0122-01a/1-ardmore-2009-refill-ex-laphroaig-barrel-709384-cask-storage-whiskybroker,2025-04-14 00:00:00,2022-03-07 00:00:00,4400,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 7 BIDS,ARDMORE,2009,HIGHLAND,STILL IN CASK,REFILL EX-LAPHROAIG BARREL,62.4% AS OF 15/1/2021,137.98 BULK LITRE AS OF 15/1/2021,OPERATIONAL,13,62.4,137.98,86.09952,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/5018481/1-ardmore-2009-refill-ex-laphroaig-barrel-709384-cask-storage-whiskybroker,2025-04-14 00:00:00,2021-08-09 00:00:00,4950,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 35 BIDS,ARDMORE,2009,HIGHLAND,STILL IN CASK,REFILL EX-LAPHROAIG BARREL,62.4% AS OF 15/1/2021,137.98 BULK LITRE AS OF 15/1/2021,OPERATIONAL,12,62.4,137.98,86.09952,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/0122-01/1-ardmore-2009-refill-ex-laphroaig-barrel-709384-cask-storage-whiskybroker,2025-04-14 00:00:00,2022-02-07 00:00:00,3900,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 10 BIDS,ARDMORE,2009,HIGHLAND,STILL IN CASK,REFILL EX-LAPHROAIG BARREL,62.4% AS OF 15/1/2021,137.98 BULK LITRE AS OF 15/1/2021,OPERATIONAL,13,62.4,137.98,86.09952,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0524-08/cask-speyside-single-malt-glenrothes-2016-refill-hogshead-8261-stored-north-british,2025-04-14 00:00:00,2024-06-10 00:00:00,1350,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 11 BIDS,GLENROTHES,2016,SPEYSIDE,STILL IN CASK,REFILL HOGSHEAD,66.90% AS OF 29/05/2024,BULK 222.86 LITRES AS OF 29/05/2024,OPERATIONAL,8,66.9,222.86,149.09334,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0524-09/cask-speyside-single-malt-glenrothes-2016-refill-hogshead-8262-stored-north-british,2025-04-14 00:00:00,2024-06-10 00:00:00,1350,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 11 BIDS,GLENROTHES,2016,SPEYSIDE,STILL IN CASK,REFILL HOGSHEAD,67.9% AS OF 29/05/2024,BULK 222.97 LITRES AS OF 29/05/2024,OPERATIONAL,8,67.9,222.97,151.39663,No,WhiskyAuction
https://whiskyauctioneer.com/lot/67898/1-linkwood-2010-refill-hogshead-cask-144-stored-whisky-broker,2025-04-14 00:00:00,2017-06-05 00:00:00,2200,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 15 BIDS,LINKWOOD,2010,SPEYSIDE,STILL IN CASK,REFILL HOGSHEAD,,131.04 RLA / 63.4% Strength,OPERATIONAL,7,63.4,206.6876972,131.04,No,WhiskyAuction
https://whiskyauctioneer.com/lot/1124-03/cask-tobermory-1994-hogshead-381012-stored-deanston,2025-04-14 00:00:00,2024-12-02 00:00:00,22500,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 5 BIDS,TOBERMORY,1994,ISLAND,STILL IN CASK,REFILL HOGSHEAD,50.9% AS OF 11/2024,141.84 BULK LITRES AS OF 11/2024,OPERATIONAL,30,50.9,141.84,72.19656,No,WhiskyAuction
https://whiskyauctioneer.com/lot/5018484/1-speyside-region-2016-refill-hogshead-8259-cask-storage-muirhall,2025-04-14 00:00:00,2021-08-09 00:00:00,2100,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 26 BIDS,Unknown,2016,SPEYSIDE,STILL IN CASK,REFILL HOGSHEAD,63.9% AS OF 8/7/2020,437 BULK LITRE AS OF 8/7/2020,OPERATIONAL,5,63.9,437,279.243,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/138595/1-mystery-speyside-1992-refill-hogshead-1408796-26-year-old-glenlivet,2025-04-14 00:00:00,2018-11-05 00:00:00,14500,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 15 BIDS,GLENLIVET,1992,SPEYSIDE,STILL IN CASK,REFILL HOGSHEAD,51.40%,191.6 BULK LITRES / 98.3 RLA,OPERATIONAL,26,51.4,191.2451362,98.3,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/0222-01/1-speyside-region-1995-refill-sherry-hogshead-9555-2296-cask-storage-glenfarclas,2025-04-14 00:00:00,2022-03-07 00:00:00,28000,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 28 BIDS,Unknown,1995,SPEYSIDE,STILL IN CASK,REFILL SHERRY HOGSHEAD,49.9% AS OF JANUARY 2022,211 BULK LITRES AS OF JANUARY 2022,OPERATIONAL,27,49.9,211,105.289,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/0125-01a/cask-bruichladdich-2010-rivesaltes-hogshead-2129-stored-bruichladdich,2025-04-14 00:00:00,2025-03-10 00:00:00,10500,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 6 BIDS,BRUICHLADDICH,2010,ISLAY,STILL IN CASK,RIVESALTES HOGSHEAD,60.4% AS OF 01/2025,124 RLA AS OF 01/2025,OPERATIONAL,15,60.4,205.2980132,124,No,WhiskyAuction
https://whiskyauctioneer.com/lot/0125-01/cask-bruichladdich-2010-rivesaltes-hogshead-2129-stored-bruichladdich,2025-04-14 00:00:00,2025-02-10 00:00:00,13000,(RESERVE NOT MET) THIS LOT CURRENTLY HAS: 3 BIDS,BRUICHLADDICH,2010,ISLAY,STILL IN CASK,RIVESALTES HOGSHEAD,60.4% AS OF 01/2025,124 RLA AS OF 01/2025,OPERATIONAL,15,60.4,205.2980132,124,No,WhiskyAuction
https://whiskyauctioneer.com/lot/246047/1-bruichladdich-%E2%80%8B2008-rivesaltes-hogshead-11-year-old-1758-cask-storage-bruichladdich,2025-04-14 00:00:00,2020-02-03 00:00:00,12000,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 26 BIDS,BRUICHLADDICH,2007,ISLAY,STILL IN CASK,RIVESALTES HOGSHEAD,62.10%,NEW BULK 194 LITRES / STRENGTH 62.1%.,OPERATIONAL,11,62.1,194,120.474,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/107055/1-bruichladdich-%E2%80%8Brivesaltes-wine-barrique-2004-716-cask-storage-bruichladdich,2025-04-14 00:00:00,2018-05-07 00:00:00,12850,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 52 BIDS,BRUICHLADDICH,2004,ISLAY,STILL IN CASK,RIVESALTES WINE BARRIQUE,64.10%,NEW BULK 201 LITRES / STRENGTH 64.1%.,OPERATIONAL,13,64.1,201,128.841,Yes,WhiskyAuction
https://whiskyauctioneer.com/lot/340214/1-blended-malt-2001-sherry-butt-cask-storage-whiskybroker,2025-04-14 00:00:00,2021-04-05 00:00:00,11500,(RESERVE HAS BEEN MET) THIS LOT CURRENTLY HAS: 49 BIDS,BLENDED,2001,SCOTLAND,STILL IN CASK,SHERRY BUTT,45.5% AS OF 3/2021,453.85 BULK LITRE AS OF 3/2021,OPERATIONAL,19,45.5,453.85,206.50175,Yes,WhiskyAuction
